picture,picture_link,currency,price,rooms,surface,floor,type,method,city,country,latitude,longitude
https://img3.imonet.ro/X76F/76F00H49U86/apartament-de-vanzare-3-camere-bucuresti-oltenitei-76028840_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/oltenitei/apartament-de-vanzare-3-camere-X76F00014?lista=2349706,EUR,78500,3,80,1,apartament,buy,Bucuresti,Romania,44.37939927,26.19324178
https://img3.imonet.ro/X8BV/8BV00H3IFEJ/apartament-de-vanzare-2-camere-bucuresti-dristor-75535386_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dristor/apartament-de-vanzare-2-camere-X8BV0005I?lista=2349706,EUR,75500,2,60,1,apartament,buy,Bucuresti,Romania,44.45260806,26.08845938
https://img3.imonet.ro/X76B/76B00H1VUJN/apartament-de-vanzare-3-camere-bucuresti-brancoveanu-73694410_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/brancoveanu/apartament-de-vanzare-3-camere-X76B0001G?lista=2349706,EUR,74000,3,70,1,apartament,buy,Bucuresti,Romania,44.46691618,26.10405547
https://img3.imonet.ro/X801/80100H37NBG/apartament-de-vanzare-2-camere-bucuresti-1-decembrie-1918-76506936_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/1-decembrie-1918/apartament-de-vanzare-2-camere-X8010004R?lista=2349706,EUR,74000,2,65,1,apartament,buy,Bucuresti,Romania,44.37599528,26.12641369
https://img3.imonet.ro/X95M/95M1000003H/garsoniera-de-vanzare-bucuresti-rosetti-76494166_277x208.jpg,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/rosetti/garsoniera-de-vanzare-X95M1000A?lista=2349706,EUR,66528,1,30,1,apartament,buy,Bucuresti,Romania,44.42518794,26.20213712
https://img3.imonet.ro/X5P7/5P700H47P3N/apartament-de-vanzare-2-camere-bucuresti-dristor-75998930_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/dristor/apartament-de-vanzare-2-camere-X5P700027?lista=2349706,EUR,64000,2,48,1,apartament,buy,Bucuresti,Romania,44.42079468,26.22012156
https://img3.imonet.ro/X92O/92O00H2LQTL/apartament-de-vanzare-2-camere-bucuresti-giurgiului-76429974_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/giurgiului/apartament-de-vanzare-2-camere-X92O00085?lista=2349706,EUR,55650,2,60,1,apartament,buy,Bucuresti,Romania,44.39511918,26.13803863
https://img3.imonet.ro/X92O/92O00H1LGIE/apartament-de-vanzare-2-camere-bucuresti-berceni-73483286_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X92O0003G?lista=2349706,EUR + VAT,54300,2,64,1,apartament,buy,Bucuresti,Romania,44.36161865,26.06349198
https://img3.imonet.ro/X80U/80U00H4017G/apartament-de-vanzare-2-camere-bucuresti-aparatorii-patriei-75926358_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aparatorii-patriei/apartament-de-vanzare-2-camere-X80U0001I?lista=2349706,EUR,47900,2,51,1,apartament,buy,Bucuresti,Romania,44.39630121,26.0167803
https://img3.imonet.ro/X7S3/7S31000004G/apartament-de-vanzare-2-camere-bucuresti-apusului-76075782_277x208.jpg,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/apusului/apartament-de-vanzare-2-camere-X7S31000M?lista=2349706,EUR,45900,2,58,1,apartament,buy,Bucuresti,Romania,44.44473952,26.01253352
